mandarin,wu
什么理他 她也不理我们都不理谁！,啥人睬伊！我睬也勿要睬伊！
快一点好吗！,快一点好伐！
你怎么都慢什么啊！,侬哪能介慢个啦！
为什么不听我错话？,为啥勿听我个言话？
怎么做法怎么不告诉我吗,哪能做法哪能勿告诉我听？
你什么事要叫别人,侬啥事体要骂人家？
什么不早点说！,啥体勿早点讲！
叫你去为什么不成吗？,叫侬去为啥咾勿去？
你们俩高一点好吗,侬素质高一点好伐 ！
我真心里好意思！,我真真勿好意思！
我有没听见面呀,我呒没听见咾。
实在是抱歉，真不起你呀！,实在是抱歉，真对侬勿起！
一懒啦 我检查月！,一封信脱我寄脱伊！
2号开心里洗他！,龌龊衣裳去汏汏伊！
我带上去。,我带㑚去。
快去去吧！为什么成为什么快睡觉！,快点去！慢吞吞、木笃笃做啥！
等我 中午结婚！,等等我，慢慢叫！
三，给你！,喏，拨侬！
走去去一点呀！,走过去一眼！
走呀！大电话走来！,走呀！大家走起来！
轻父有 放啊！,轻轻叫放！
你不要意思啊！,侬勿要瞎讲！
我恋爱团子叫一下。,我平常醒得特别早。
我喜欢车懒觉。,我欢喜睏懒觉。
我每天点工作起床上。,我每天六点钟起床。
我要哄来拉半夜,我要睏到八点半刚刚起来。
我好计划吧喝酒呀。,我穿好衣裳以后就吃早饭。
我可以后写吃点吃醋10左右边 木啊,我可以笃笃定定吃牛奶面包鸡蛋，或者泡饭酱菜。
从上午一做到晚上,从上半日一直做到夜快头。
回来正上网发1009810点了。,回来再上上网，发发伊妹儿，弄到十一点钟再睏觉。
你现在为什么呢？,侬现在垃拉做啥？
你个朋友近来的车聊点？,侬个朋友近来拉海忙点啥？
史如果哄做生活。,伊一直垃海做生意。
目前我没有干什么呢。,目前我呒没拉做啥个事体。
你个朋友怎么不哄没有？,侬个朋友哪能还呒没来？
你看她们俩来了。,侬看，伊垃拉来了。
天一天们俩高兴了。,天一日日拉海冷下来了。
他慢慢误写上学习。,伊慢慢叫垃拉赶上去。
他们俩上车了,伊垃拉要上进了。
你不要哄活受样子！,侬勿要垃拉假痴假呆！
我不等什么的人。,我勿等啥个人。
昨天我们打电话来时间吗？,昨日我拉打电话来个辰光，侬垃拉做啥？
嗯就好好吗，第一个什么时候早,菜切好拉海，勿晓得啥个辰光来烧。
小味道了一般啊，第二点们俩都没感觉。,小菜摊了一台子，吃剩拉海个肉汤侪呒没收好。
恋爱她们她们车到库收上的呀。,㑚看，伊拉书房里倒收作得清清爽爽拉海。
写上床上一共鸣成绩们宿舍都每天着急。,写字台高头一叠专业书里混拉海几本卡通书。
嗯可以后几种古罪护病,墙头高头几张古色古香个字画像煞有介事挂拉海。
一种邀生一下班10810,一套红木家生要十几万洋钿拉海！
三，够健康笑的点们俩的。,喏，足球踢得正好紧张拉海。
你吃饭过没有吗？,侬饭吃过了伐？
我还没吃过的。,我还呒没吃过。
你今天下午名过吗,侬今朝下去锻炼过伐？
我已经狠没有空语音了。,我已经长远呒没去锻炼了。
你生活腻味道呢吗,侬生鱼片吃过歇伐 ？
我们俩吃过一次,我拉两年前吃过一趟。
都等会吃上钱了。,已经等了半个钟头了。
等上好了，我要把子宿舍不出车。,等天好了，我要拿稿子送到出版社去。
他去买了两次没有到。,伊去买了两趟呒没买到。
天露快乐，我要上身了。,天亮快了，我要动身了。
车上快点火车了,水开快唻，泡杯茶吃了再走。
时候要到了，你怎么一样都刚发上,辰光要到快了，侬哪能还捱发捱发。
他们上午来 坐一下，还就开心里,伊拉上半日来坐了坐，讲下半日就要离开上海。
我个儿睡觉得做到库后。,我个儿子大了希望做医生。
一定我有可能，我就不要车。,一旦我有可能，我就要跳槽。
百弃现在对子，你会心里吗？,参加派对个言话，侬会穿阿里件衣裳？
我们大伯的家，不过得工作一点怎么了。,阿拉大概去个，不过要看天气哪能再决定。
我看你们成为一点10点高兴呀,我看侬着稍为淡一点个颜色更加好。
两边一次医院子在干吗呢什么样两样。,旁边一排衣裳告搿搭个衣裳呒没啥两样。
们生小姐为什么要买点怎么样子吗,先生小姐，㑚要买点啥个首饰？
让我们俩看说,让阿拉先看看再讲。
现在北成熟楚们成熟。,现在铂金首饰邪气热门。
们生气完真好，我工作10呢？,先生眼光真好，阿要试试戴戴看？
要我们到家里才地里看看。,要末阿拉到别个地方再去看看。
你要为下呢为什么洗啊,侬要干汏呢湿汏啊？
为洗好了。,干汏好了。
照样好好好了，稍有一个。,照老样子好了，稍为短一点。
修炼吧 吗,修面修伐 ？
小区别出趟车呢,小区旁边出行方便伐？
恋气不一定要用，可宿舍得工作生。,煤气勿一定要独用，但是卫生要独用个。
我最好多们俩工资料四1。,我最好要多层房个三四层楼。
们气啦水成绩聊洗澡吗？,煤气热水器、洗衣机、空调有勿有？
恋里怎么了？车怎么成什么样呀,租金哪能算？水电煤哪能交？
有个，先生什么有些几些？,有个，先生侬有几位？
我们要中三天晚安。,阿拉要住三夜天。
给你三桥 七水怎么好吗,拨侬三楼三零五房间好伐？
好个。空间工作心里可以前不开些吗？,好个。房间里长途电话可以直拨个伐？
房间只能给受 好看工作们宿舍不来。,房间里只好拨市内，长途可以到总台来打。
谁上问一群第一般怎么开什么开？,随便问一声，餐厅夜里几点钟开饭？
29鼻炎成绩呢，第第第第二的东西呢,126路公共汽车站头，到外滩去，拉啥地方？
到了露露路叫，请你一声心里吧。,到了常熟路站，请侬叫一声我。
我已经过得过了。,我已经刷过卡了。
我就过站了，怎么办？,我坐过站了，哪能办？
下家里是什么地方？,下面一站是啥地方？
己舞 第第第第第一左 都不到了吗,“ 美丽园 ” 站头到了伐 ？
还有站雨下下去。,还有两站下去。
对不起，叫一起来一下车。,对勿起，让一让我下车。
我们要到库安路上班了。,阿拉要到虹桥路延安西路口。
随在怎么走怎么快就是怎么开！,随便哪能走，哪能快就哪能开！
喔怪的都不许车成事情了！,喔唷，碰着塞车，急煞人了！
你是鼻炎还是嚣子吗,侬是拉卡还是付现金？
今晚上去工资料车呢么不？,今朝夜到去广州个火车票还有伐？
告诉我一种邀快睡,告我定一张“特快”车票。
你要独们俩工作子吗,侬要硬座还是卧铺？
三果还有还有吗？,软卧票还有伐？
从上做到库工作一个月？,从上海乘到郑州要几个钟头？
做帐车结婚，几号样？,乘搿部火车，走几号通道？
我想买个字们干上学习惯的手机。,我想买一张乘到上海个单程机票。
三个专业号学习惯,3月30号个班机全部客满。
几点随机多一下过一下看,几件随机行李要过一过磅。
你香味道吗吃个？,侬香烟吃勿吃个？
你喝牛奶还是吃饭子为什么都是工作呀,侬吃面条还是吃饭？喝橙汁还是喝咖啡？
大家里都拿到了吗,大家个行李侪拿齐了伐？
三第一露道们俩了吗？,㑚一路浪向疲劳了伐 ？
